año,empresa,establecimiento,rubro,region,provincia,comuna,latitud,longitud,tipo_fuente,combustible_primario,contaminante,cantidad_toneladas
2020.0,CONSTRUCTORA DE PAVIMENTOS ASFALTICOS BITUMIX S.A,Planta Maipú,Otras industrias manufactureras,Metropolitana,Santiago,Maipú,-33.53193752,-70.74410331,Secador y Mezclador Rotatorio,,MP10,"772,6860351"
2020.0,GUACOLDA ENERGIA S.A,GUACOLDA,Termoeléctricas,Atacama,Huasco,Huasco,-28.46860974,-71.25437653,Caldera de Generación Eléctrica,Carbón Bituminoso Pulverizado,Dióxido de azufre (SO2),"661,46"
2020.0,ANGLO AMERICAN SUR S.A.,ANGLO AMERICAN SUR S.A.,Otras industrias manufactureras,Valparaíso,San Felipe de Aconcagua,Catemu,-32.79958061,-70.95446046,Horno de Fusión Flash,Gas Natural,Dióxido de azufre (SO2),"530,67"
2020.0,ANGLO AMERICAN SUR S.A.,ANGLO AMERICAN SUR S.A.,Otras industrias manufactureras,Valparaíso,San Felipe de Aconcagua,Catemu,-32.79958061,-70.95446046,Horno de Refino,Gas Natural,Dióxido de azufre (SO2),"530,67"
2020.0,ANGLO AMERICAN SUR S.A.,ANGLO AMERICAN SUR S.A.,Otras industrias manufactureras,Valparaíso,San Felipe de Aconcagua,Catemu,-32.79958061,-70.95446046,Horno de Refino,Gas Natural,Dióxido de azufre (SO2),"530,67"
2020.0,ANGLO AMERICAN SUR S.A.,ANGLO AMERICAN SUR S.A.,Otras industrias manufactureras,Valparaíso,San Felipe de Aconcagua,Catemu,-32.79958061,-70.95446046,Horno Basculante - Refinamiento a Fuego,Gas Natural,Dióxido de azufre (SO2),"530,67"
2020.0,ANGLO AMERICAN SUR S.A.,ANGLO AMERICAN SUR S.A.,Otras industrias manufactureras,Valparaíso,San Felipe de Aconcagua,Catemu,-32.79958061,-70.95446046,Horno Basculante - Refinamiento a Fuego,Gas Natural,Dióxido de azufre (SO2),"530,67"
2020.0,ANGLO AMERICAN SUR S.A.,ANGLO AMERICAN SUR S.A.,Otras industrias manufactureras,Valparaíso,San Felipe de Aconcagua,Catemu,-32.79958061,-70.95446046,Convertidor Pierce Smith (CPS),Petróleo N 2 (Diesel),Dióxido de azufre (SO2),"530,67"
2020.0,ANGLO AMERICAN SUR S.A.,ANGLO AMERICAN SUR S.A.,Otras industrias manufactureras,Valparaíso,San Felipe de Aconcagua,Catemu,-32.79958061,-70.95446046,Convertidor Pierce Smith (CPS),Petróleo N 2 (Diesel),Dióxido de azufre (SO2),"530,67"
2020.0,ANGLO AMERICAN SUR S.A.,ANGLO AMERICAN SUR S.A.,Otras industrias manufactureras,Valparaíso,San Felipe de Aconcagua,Catemu,-32.79958061,-70.95446046,Convertidor Pierce Smith (CPS),Petróleo N 2 (Diesel),Dióxido de azufre (SO2),"530,67"
2020.0,ANGLO AMERICAN SUR S.A.,ANGLO AMERICAN SUR S.A.,Otras industrias manufactureras,Valparaíso,San Felipe de Aconcagua,Catemu,-32.79958061,-70.95446046,Convertidor Pierce Smith (CPS),Petróleo N 2 (Diesel),Dióxido de azufre (SO2),"530,67"
2020.0,GUACOLDA ENERGIA S.A,GUACOLDA,Termoeléctricas,Atacama,Huasco,Huasco,-28.46860974,-71.25437653,Caldera de Generación Eléctrica,Carbón Bituminoso Pulverizado,Dióxido de azufre (SO2),"485,66"
2020.0,CORP NACIONAL DEL COBRE DE CHILE,DIVISIÓN MINISTRO HALES,Minería,Antofagasta,El Loa,Calama,-22.40928855,-68.91623758,Horno de Tostación,Petróleo N 2 (Diesel),Dióxido de azufre (SO2),440
2020.0,CORP NACIONAL DEL COBRE DE CHILE,DIVISION SALVADOR  POTRERILLOS,Minería,Atacama,Chañaral,Diego de Almagro,-26.4356027,-69.48323872,Horno,Petróleo N 6,Dióxido de azufre (SO2),"439,63"
2020.0,CORP NACIONAL DEL COBRE DE CHILE,DIVISION SALVADOR  POTRERILLOS,Minería,Atacama,Chañaral,Diego de Almagro,-26.4356027,-69.48323872,Horno,Petróleo N 6,Dióxido de azufre (SO2),"439,63"
